com_name,exp_req,jd,job_title,keyskills,link,loc,salary
Premium,8-10 yrs,- You should be able to build a custom Function Module with medium complexity program logic;- As a ...,Hadoop/big Data Consultant - Splunk,"Data Analytics, Big Data, Analytics, Analytics Big Data",,"Delhi NCR, Noida",  Not disclosed 
RailYatri-Startup,3-6 yrs,"Must Have Tools : R, MySQL, ExcelGood to Have Tools : Python, MongoDB, Apache SparkWork Experience : 3-6 ...",Senior Data Scientist - Iit/nit/iim/isb,"R, Python, Data Science, MySQL, MongoDB, SQL, Apache, Data Analytics...",,Noida,  Not disclosed 
"OYO Rooms, Oravel Stays Private Limited",1-6 yrs,  Data collection mechanisms and hygiene  Creating and maintaining dashboards for ...,Analyst,"Data Collection, Process Implementation, Business Generation...","https://www.naukri.com/recruiters/profile/pratibhajangir-3834852?xz=0_0_7,https://www.naukri.com/recruiters/profile/pratibhajangir-3834852?xz=0_0_7",Gurgaon,  Not disclosed 
AIRSEVA INDIA PVT LTD,5-8 yrs, 8 + years top tier analyst or consulting experience in business intelligence or analytics ...,Business Analyst (contractual Role),"Big Data Analytics, Data Science, Macros, VBA, Data Quality, Charts...","https://www.naukri.com/recruiters/profile/uttirnagogia-3793366?xz=0_0_7,https://www.naukri.com/recruiters/profile/uttirnagogia-3793366?xz=0_0_7",Gurgaon,  Not disclosed 
Adaan Digital Solutions Pvt. Ltd.,0-3 yrs,"All the customer e-mails, calls and complaints must be addressed in a timely and effective manner;The ...",Post Sales/ Customer Success Executive,"Outbound, Inbound, Marketing, Advertising, Post Sales, Communication Skills...","https://www.naukri.com/recruiters/profile/SumitaArora-COO?xz=0_0_7,https://www.naukri.com/recruiters/profile/SumitaArora-COO?xz=0_0_7",Delhi NCR,"    1,00,000 - 3,50,000 P.A.  "
Kronos Solutions India Pvt. Ltd.,8-12 yrs,"You should have prior experience recruiting across levels within a multidisciplinary environment;Ideally, ...",Senior Recruiter,"Recruitment, Talent acquisition, Healthcare, Human capital management...",,Noida,  Not disclosed 
,,,,,,,
,,,,,,,
,,,,,,,
Colangels India Pvt. Ltd,2-6 yrs,"- Hands on experience in advance machine learning techniques/problems - Regression, forecasting, ...",Data Scientist & Analytics - Machine Learning/r/python - Startup,"Product Marketing, Machine Learning, Python, R, Marketing Operations...",,"Gurgaon, Gurugram",  Not disclosed 
Dimensions HRD Consultants,6-11 yrs,"- Incumbent must have Operational understanding includes classical regression, statistical methods like ...",Head - Data Science & Analytics - Financial Services,"Data Science, Analytics, Data Mining, Machine Learning, Factor Analysis...",,Noida,  Not disclosed 
AASTHA CONSTRUCTIONS,1-5 yrs,,Data Analyst,"Data Analysis, Data Analytics, Data Collection, data recovery, data backup,...","https://www.naukri.com/recruiters/profile/kalpeshmehta-3830568?xz=0_0_7,https://www.naukri.com/recruiters/profile/kalpeshmehta-3830568?xz=0_0_7","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur","    3,25,000 - 8,25,000 P.A. Best in all the Industry, Medi...  "
HyrEzy Talent Solutions,1-5 yrs,- Experience with building insights using varied/alternate data sources;- Experience with large data ...,Data Scientist/business Analyst,"Data Analytics, Python, Business Analysis, Statistical Analysis...",,Gurgaon,  Not disclosed 
Crowdsource Technologies Pvt Ltd,2-4 yrs,Job Description:  - Work with the team to build and support thesqua.re and all its affiliated ...,Product Manager,"product management, product roadmap, Data Analyst, Data Analytics...","https://www.naukri.com/recruiters/profile/swatirajput-hrmanager-delhi?xz=0_0_7,https://www.naukri.com/recruiters/profile/swatirajput-hrmanager-delhi?xz=0_0_7",Delhi,"    8,00,000 - 9,50,000 P.A.  "
OG SKILLS INDIA PVT LTD,1-4 yrs,,Excellent Opening for Growth Manager - Delhi Location,"area growth manager, area growth assistant manager, Data Analytics...",,"Delhi NCR, Delhi","    2,00,000 - 5,00,000 P.A.  "
Baby Destination,2-6 yrs,"- At least 2-3 years of work experience in data analysis, business intelligence, and analytics reporting ...",Senior Data Research Analyst,"Data Analysis, Data Research, Data Analytics, R, Product Sales, Statistical...",,Delhi(East of Kailash),  Not disclosed 
Decision Point,3-5 yrs,- Exposure to the Indian consumer market dynamics and application of analytics in developing marketing ...,Analytics Consultant - Fmcg/retail/cpg Domain - Iit/nit,"FMCG Sales, Data Analytics, Marketing Analytics, Data Analysis, Statistical...",,"Gurgaon, Delhi NCR",  Not disclosed 
IRIS SOFTWARE Inc,12-18 yrs,"o	Experience with industry-leading business intelligence platforms, including Qlik, Tableau, ...",Business Intelligence Architect - Data and Analytics,"presales, data science, sales consulting, business intelligence, investment...","https://www.naukri.com/recruiters/profile/medhavimisra-3033874?xz=0_0_7,https://www.naukri.com/recruiters/profile/medhavimisra-3033874?xz=0_0_7","Delhi NCR, Noida",  Not disclosed 
IRIS SOFTWARE Inc,15-20 yrs,"o	Experience in writing proposals, coming up with solutions to address customers business needs, ...",Big Data Architect - Data and Analytics,"Hadoop, Java, Data Science, Cloudera, Spark, Hive, Impala, Presales...","https://www.naukri.com/recruiters/profile/medhavimisra-3033874?xz=0_0_7,https://www.naukri.com/recruiters/profile/medhavimisra-3033874?xz=0_0_7","Delhi NCR, Noida",  Not disclosed 
Avizva Solutions Private Ltd,5-9 yrs,"Take measures to effectively analyse, verify and communicate requirement including business, functional, ...",Oppurtunity For Senior Associate System Analyst,"Data Analysis, Data Mining, Data Analytics, Statistical Analysis...","https://www.naukri.com/recruiters/profile/anukampa-3582860?xz=0_0_7,https://www.naukri.com/recruiters/profile/anukampa-3582860?xz=0_0_7",Gurgaon(Cyber City),  Not disclosed 
Vichara Technology (India) Private Limited,6-10 yrs,,Vlens Developer,"WPF, Winforms, SQL, Data Management, Amazon Ec2, Amazon Redshift, lambda...","https://www.naukri.com/recruiters/profile/mrvineetsamson-32603?xz=0_0_7,https://www.naukri.com/recruiters/profile/mrvineetsamson-32603?xz=0_0_7",Delhi NCR,"    10,00,000 - 20,00,000 P.A.  "
TransOrg Analytics,1-4 yrs,- Experience developing workbooks from multiple data sources using data blending;- Experience in ...,Data Analyst,"Data Analyst, Analytics, Data Analytics, Data Management...","https://www.naukri.com/recruiters/profile/swativerma-3730096?xz=0_0_7,https://www.naukri.com/recruiters/profile/swativerma-3730096?xz=0_0_7","Mumbai, Gurgaon",  Not disclosed 
NISG ( National Institute of Smart Government),4-9 yrs,Experience in data mining techniques;Experience	4+ years/ or MBA / Masters with 2+ years of relevant ...,Data Analyst - Ministry of Rural Development - New Delhi,"data analysis, data mining, data analytics, r, statistics, Python...","https://www.naukri.com/recruiters/profile/shunalimoza-3216628?xz=0_0_7,https://www.naukri.com/recruiters/profile/shunalimoza-3216628?xz=0_0_7",Delhi NCR,  Not disclosed 
INMORPHIS SERVICES PRIVATE LIMITED,2-5 yrs,Should have 3+ years creating predictive models using advance machine learning techniques;Strong ...,Analyst /senior Analyst-data Science,"predictive analytics, predictive modeling, logistic regression...","https://www.naukri.com/recruiters/profile/humanresources-3373740?xz=0_0_7,https://www.naukri.com/recruiters/profile/humanresources-3373740?xz=0_0_7",Noida,  Not disclosed 
Fireball Securitas and Consultants Pvt Ltd,1-4 yrs,Experienced & Responsible for all reports as per the requirement by the management;Proficient in ...,CRM Executive,"Excel, Charts, Lookup, Data Analysis, MIS Reporting, Macros, Pivot Table...",,Delhi NCR,  Not disclosed 
BT Global Business Services Pvt Ltd,6-8 yrs,- Experience of handling complex and difficult situations with thought and confidence; role models ...,Senior Finance Leader - FSSC Procure to Pay,"accounting standards, finance, accounts payable, p2p...",,Gurgaon,  Not disclosed 
Constalytics,10-20 yrs,,Data and Analytics Lead,"Data Analysis, Data Analytics, Data Architecture, Reporting Tools, ERP, SAP...",,Delhi NCR,"    25,00,000 - 30,00,000 P.A.  "
Brainsearch Consulting Pvt Ltd.,15-18 yrs,"- Experience working with modern web technologies;- Experience architecting and developing high-volume, ...",Technical Architect - .net/ C#,"C#, Design Patterns, UML, .Net, OOAD, Software Architecture, C#.Net...",,"Gurgaon, Noida",  Not disclosed 
Accenture,2-6 yrs,Knowledge Advisor should be able to architect knowledge management and delivery strategy for the ...,CN - Strategy - Knowledge Advisor F&EP - 7,"Presales, Consulting, Change management, Content management...",,Gurgaon,  Not disclosed 
Accenture,2-5 yrs,"Role : Application DeveloperRole Description : Design,  build and configure applications to meet ...",Application Developer,"XML, Virtualization, Business process, Outsourcing, Operations...",,Gurgaon,  Not disclosed 
Accenture,2-5 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,Application Developer,"SQL, XML, JSON, Business process, Solution architecture, Outsourcing...",,Gurgaon,  Not disclosed 
Outgrow Consulting,8-10 yrs,8-10 years of experience preferably in HRIS/ IT/ HR in cross cultural environment;- Must Have: 4-5 years ...,AM / DM -taleo Recruitment,"HR, Performance Appraisal, HRIS, Recruitment, Taleo, Oracle Support, SQL...",,Noida,  Not disclosed 
INDO FRENCH CHAMBER OF COMMERCE AND INDUSTRY,2-4 yrs,"To ensure our development, we are looking for a Project / Support Engineer specialized in renewable ...",Project Support Engineer in Renewable Energies,"Remote Support, Remote Support Engineer, remote support analyst...","https://www.naukri.com/recruiters/profile/ifcci-3316718?xz=0_0_7,https://www.naukri.com/recruiters/profile/ifcci-3316718?xz=0_0_7",Delhi NCR,"    3,00,000 - 8,00,000 P.A.  "
Decision Point,4-8 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,Senior Analytics Consultant,"team management, excel powerpoint, data analytics, client engagement...",,Gurgaon,  Not disclosed 
Megma Services,2-5 yrs,- Years of experience : 2- 4 years;- Manage Account resources where required to assist with account ...,Manager - Client Service & Brand Communication - Advertising/pr Firm,"advertising, finance, client servicing, loyalty programs...",,Delhi,  Not disclosed 
Client of Contactx Resource Management Pvt. Ltd.,3-8 yrs,"Experience in any web-framework, micro services, REST APIs, highly scalable databases;Hands on ...",Senior Software Engineer-pritampura -delhi,"C, C++, Software Engineering, Python, Product Design, Programming...","https://www.naukri.com/recruiters/profile/consultant-2592?xz=0_0_7,https://www.naukri.com/recruiters/profile/consultant-2592?xz=0_0_7","Delhi NCR, Delhi","    3,00,000 - 8,00,000 P.A.  "
Fiserv India Pvt Ltd,2-5 yrs,"Sound experience on data analytic tools such as SAS  , ...","Risk Assurance ,  Supervisor","Supervisor, Auditing, Monitoring, Analytical, Operations, Vulnerability...",,Noida,  Not disclosed 
Neufvasi Digital Solutions Private Limited,1-3 yrs,We are hiring Account Managers with Bachelors/Masters engineering degree from a premier institute for ...,Account Manager - IIT/ NIT/ BITS,"Account Management, Client Satisfaction, Energy Efficiency...","https://www.naukri.com/recruiters/profile/bharatparmar-988664?xz=0_0_7,https://www.naukri.com/recruiters/profile/bharatparmar-988664?xz=0_0_7","Mumbai, Gurgaon",  Not disclosed 
Coalition India,0-5 yrs,Successfully completing Google AdWords Certification if not already ...,SEM Analyst /PPC Manager - Remote,"Wordpress, Jquery, css, analytics, market research, data analytics, SEO","https://www.naukri.com/recruiters/profile/amandeep-1789156?xz=0_0_7,https://www.naukri.com/recruiters/profile/amandeep-1789156?xz=0_0_7","Delhi NCR, Amritsar, Chandigarh, Delhi, Gurgaon",  Not disclosed 
RMS Risk Mangement Solutions India Pvt Ltd,7-12 yrs,"6-8 years relevant experience in risk analytics for P&C insurance, reinsurance, or insurance linked ...",Lead Data Analyst - CAT Modelling,"risk management, data analytics, excel, data interpretation, risk analytics...","https://www.naukri.com/recruiters/profile/abhimanyusaini-1140579?xz=0_0_7,https://www.naukri.com/recruiters/profile/abhimanyusaini-1140579?xz=0_0_7",Noida,  Not disclosed 
Coalition India,0-5 yrs,After successfully completing the initial training period you should also be able to perform technical ...,SEO Analyst - Remote,"Wordpress, Jquery, css, analytics, market research, data analytics, SEO","https://www.naukri.com/recruiters/profile/amandeep-1789156?xz=0_0_7,https://www.naukri.com/recruiters/profile/amandeep-1789156?xz=0_0_7","Mumbai, Bengaluru, Amritsar, Chandigarh, Delhi",  Not disclosed 
,,,,,,,
FIL India Business and Research Services Private  Limited,5-7 yrs,Exposure to structured software development methodology (preferably Agile or Iterative development ...,Senior Business Analyst - DARS,"reference data, market data, fixed income derivatives, business analysis...",,Gurgaon,  Not disclosed 
Decision Point,4-7 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,Senior Analytics Consultant,"sales, marketing, team management, excel powerpoint, data analytics, client...",,Gurgaon,  Not disclosed 
Decision Point,2-4 yrs,The position required for an individual to manage Decision Points client engagement end to end which ...,Senior Business Analyst - FMCG Sector - Iit/nit,"sales, business analysis, marketing, data analytics, excel powerpoint, team...",,"Delhi NCR, Gurgaon",  Not disclosed 
COMPUTER POWER GROUP PRIVATE LIMITED,7-10 yrs,Industry experience in building and operationalizing various machine and deep learning models in finance/ ...,ETL Lead & Data Science,"SQL, Data Analysis, Text Mining, SAS, R, Statistical Modeling...",,"Chennai, Bengaluru, Mumbai, Pune, Noida","    10,00,000 - 15,00,000 P.A.  "
Karvy Analytics,2-4 yrs,The Data Scientist with 2+ years of experience will be responsible for designing and implementing ...,Data Scientist | Delhi - NCR,"data mining, data analysis, machine learning, analytics, statistics...","https://www.naukri.com/recruiters/profile/amitabhranjan?xz=0_0_7,https://www.naukri.com/recruiters/profile/amitabhranjan?xz=0_0_7",Delhi NCR,  Not disclosed 
HyrEzy Talent Solutions,2-5 yrs,"Understanding of IBM Watson is added advantage, Experience with machine learning algorithms and data ...","Data Scientist - NLP, Machine Learning","Deep Learning, Natural Language Processing, Information Retrieval, NLP...",,Noida,  Not disclosed 
Shahi Exports Pvt Ltd.,15-20 yrs,,Senior Business Analyst with 15 Yrs. Exp. - Shahi Exoprts Pvt. Ltd.,"Marketing, Market Research, Sales, Opportunity Identification...","https://www.naukri.com/recruiters/profile/promilarawat-1464802?xz=0_0_7,https://www.naukri.com/recruiters/profile/promilarawat-1464802?xz=0_0_7",Faridabad,"    50,00,000 - 60,00,000 P.A.  "
,,,,,,,
,,,,,,,
HuQuo,2-4 yrs,- Works with the business interpreter (Head Six Sigma Projects) to fully understand the business problem ...,Data Scientist - Process Excellence & Analytics,"deep learning, data science, predictive analytics, machine learning...","https://www.naukri.com/recruiters/profile/janardhan-3025494?xz=0_0_7,https://www.naukri.com/recruiters/profile/janardhan-3025494?xz=0_0_7",Noida,  Not disclosed 
DMI Innovations Pvt. Ltd,5-7 yrs,These initiatives and programs are expected to contribute heavily towards scale and growth of the ...,Excited to work with us as a Business Operations Analyst,"Project Management, Data Analysis, Solutioning, Data Mining, Analytics...","https://www.naukri.com/recruiters/profile/harindersingh-1416686?xz=0_0_7,https://www.naukri.com/recruiters/profile/harindersingh-1416686?xz=0_0_7",Noida,"    10,00,000 - 18,00,000 P.A.  "
TransOrg Analytics,1-4 yrs,- Experience developing workbooks from multiple data sources using data blending;- Experience in ...,Data Analyst,"Predictive Analytics, Data Analysis, Data Mining, Statistical Modeling, R...","https://www.naukri.com/recruiters/profile/swativerma-3730096?xz=0_0_7,https://www.naukri.com/recruiters/profile/swativerma-3730096?xz=0_0_7","Mumbai, Gurgaon",  Not disclosed 
ETV BHARAT (A Division of Ushodaya Enterprises Pvt. Ltd.),1-4 yrs,"The Candidate would need to understand the online advertising market and technologies involved, the ...","Executive, Digital Ad Sales","Ad Sales, Digital Sales, Media Sales, Online Advertising, Ad Operations...","https://www.naukri.com/recruiters/profile/rajasekhargottipati-3176282?xz=0_0_7,https://www.naukri.com/recruiters/profile/rajasekhargottipati-3176282?xz=0_0_7",Delhi NCR,  Not disclosed 
Nacre Outsourcing,5-10 yrs,- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and ...,SAS Model Developer - Analytics Consulting Firm,"Excel, SQL, Data Analysis, Segmentation, SAS, Data Mining, SPSS...",,"Gurgaon, Noida, Gurugram",  Not disclosed 
Toran Global,13-15 yrs,- Team player and good at stakeholder management;- Any certification in Analytics will be an added ...,Program Manager - Analytics - Automobile Firm,"Project Management, Program Management, Predictive Analytics...",,Gurgaon,  Not disclosed 
Toran Global,8-12 yrs,- Team player and good at stakeholder management;- Any certification in Analytics will be an added ...,Program Manager - Analytics,"Project Management, Program Management, Predictive Analytics...",,Gurgaon,  Not disclosed 
Cognizant Technology Solutions India Ltd,2-7 yrs,Minimum of regular 10+3/10+2+3/4 years education pattern with supporting documents;Please find below the ...,Walkin-insight/market Research Specialist in Media Domain-gurgaon,"Market research, Analytics, Media, Consumer Insights...",,Gurgaon,  Not disclosed 
ProProfs.com,0-2 yrs,Should be ready to work in a fast-paced work culture;Must be able to pay attention to the details during ...,"Content Optimization Executive - NSEZ Phase II, Noida","content optimization, google analytics, creative writing, writing, academic...","https://www.naukri.com/recruiters/profile/mollygupta-3285928?xz=0_0_7,https://www.naukri.com/recruiters/profile/mollygupta-3285928?xz=0_0_7",Noida,  Not disclosed 
SoftAge Information Technology Limited,1-3 yrs,Must have knowledge of Search Engine Optimization (SEO) & Social Media Campaigns (SMO) and executing ...,Jr. Digital Marketer,"SEO, Digital Marketing, SMO, SEM, Link Building, Google Analytics...","https://www.naukri.com/recruiters/profile/msruhitatrivedi-1731800?xz=0_0_7,https://www.naukri.com/recruiters/profile/msruhitatrivedi-1731800?xz=0_0_7",Gurgaon,  Not disclosed 
HuQuo,10-12 yrs,- This position must be able to advise and collaborate with business users and subject matter experts to ...,AVP - Cognitive Technologies Architect - Nlp/machine/deep Learning,"Deep Learning, Natural Language Processing, NLP, Machine Learning, Java...","https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Bengaluru, Gurgaon",  Not disclosed 
VMock,1-5 yrs,Very strong analytical/numerical skills and experience with metric-based decision making (incl;Coding ...,Associate Product Manager - Iit/nit/bits/iim/xlri/fms,"Product Management, Product Strategy, Data Analytics, User Experience...","https://www.naukri.com/recruiters/profile/avneetkaur-3100810?xz=0_0_7,https://www.naukri.com/recruiters/profile/avneetkaur-3100810?xz=0_0_7",Gurgaon,  Not disclosed 
VMock,1-2 yrs,- 0-2 years of work experience in analytics (internships included) as a product analyst;- UG from a top ...,Product Analyst - Analytics - Iit/nit/bits,"Data Analysis, Data Analytics, Excel, Business Intelligence, Web Analytics,...","https://www.naukri.com/recruiters/profile/avneetkaur-3100810?xz=0_0_7,https://www.naukri.com/recruiters/profile/avneetkaur-3100810?xz=0_0_7",Gurgaon,  Not disclosed 
RnF Technologies Pvt Ltd.,5-8 yrs,Experience between 1 - 3 Years can be considered for content writer as we do have open position for that ...,Content Manager,"SEO, Digital Marketing, Search Engine Marketing, Google Analytics, SMO...","https://www.naukri.com/recruiters/profile/ravikumarsingh-3807702?xz=0_0_7,https://www.naukri.com/recruiters/profile/ravikumarsingh-3807702?xz=0_0_7",Noida(Sector-62 Noida),"    5,00,000 - 7,50,000 P.A.  "
Cognizant Technology Solutions India Ltd,3-8 yrs,"o Experience with Adobe Target not required, but consider a huge plus;o Experience with Portal or ...",Cognizant Hiring for AEM Expert,"Adobe Analytics, Google Analytics, Web Services, Web Technologies",,"Bengaluru, Hyderabad, Pune, Chennai, Gurgaon",  Not disclosed 
Radiant Infotech,0-5 yrs,,Business Analyst,"Business Analysis, US Healthcare, Insurance, Change Control...","https://www.naukri.com/recruiters/profile/deepakrawat-3834998?xz=0_0_7,https://www.naukri.com/recruiters/profile/deepakrawat-3834998?xz=0_0_7","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Kolkata, Chandigarh, Jaipur, Madurai","    4,00,000 - 9,00,000 P.A. better than your expectations  "
KartRocket,1-3 yrs, Job description Summary :-    BigFoot Retail Solutions has defined what sell-side E ...,Product Analyst - Strategy & Roadmap,"Product Analyst, product strategy, product development, data analytics...",,Delhi,  Not disclosed 
Gartner India Research & Advisory Services Pvt Ltd,5-7 yrs,Analytics thinker with experience deriving business insights from data analytics;2-3 years of data ...,Business Analyst,"business analysis, logistic regression, analytics, data mining...",,Gurgaon,  Not disclosed 
Gartner India Research & Advisory Services Pvt Ltd,2-3 yrs,,Researcher - Client Engagement Plans,"Data Analytics, Client Engagement, Client Servicing, Data Analyst...",,Gurgaon,  Not disclosed 
Nativism Technocrats Private Limited,6-9 yrs, Technical Competencies   SAS/Py ...,Manager-data Science,"&quot ; data analysis"" advance analytics, logistics, regression...",,Delhi NCR,  Not disclosed 
MakeMyTrip (India) Pvt Ltd,2-3 yrs,  Languages Required: R/Python with SQL  Advanced analytics    - Customer ...,Senior Executive/ Assistant Manager - Data Analyst - Online Marketing,"Online Marketing, Web Analytics, SQL, Time Series, Advanced Analytics, Data...","https://www.naukri.com/recruiters/profile/ishakalia-3667872?xz=0_0_7,https://www.naukri.com/recruiters/profile/ishakalia-3667872?xz=0_0_7","Gurgaon, Gurugram",  Not disclosed 
ProProfs.com,4-6 yrs,Required-4-6 Years of working experience in digital marketing (Preferably in IT Company) managing SEO/SEM ...,Digital Marketing Manager,"SEO, Digital Marketing, SEM, SMO, Content Marketing, Web Analytics...","https://www.naukri.com/recruiters/profile/winniefredsoreng-3729392?xz=0_0_7,https://www.naukri.com/recruiters/profile/winniefredsoreng-3729392?xz=0_0_7",Noida,  Not disclosed 
Cvent India Pvt. Ltd.,3-6 yrs,Strong experience on providing predictive modelling solutions to clients;Good understanding of ...,Analyst / Sr. Analyst (data Science),"predictive modeling, predictive analytics, machine learning, data science...",,Gurgaon,  Not disclosed 
RGF Select,3-8 yrs,Preferred candidates from Logistics or e-commerce ...,Manager/ Senior Manager Analytics - Supply Chain Business Process,"Reverse Logistics, Predictive Analytics, Statistical Modeling...",,Delhi NCR,  Not disclosed 
HyrEzy Talent Solutions,1-5 yrs,- Experience with building insights using varied/alternate data sources;- Experience with large data ...,Data Scientist/business Analyst - Fintech,"Data Analytics, Python, Business Analysis, Statistical Analysis...","https://www.naukri.com/recruiters/profile/harshbhardwaj-3240770?xz=0_0_7,https://www.naukri.com/recruiters/profile/harshbhardwaj-3240770?xz=0_0_7",Gurgaon,  Not disclosed 
Decision Point,0-2 yrs,- Exposure to the Indian consumer market dynamics and application of analytics in developing marketing ...,Analytics Consultant - Fmcg/ Retail/ CPG Domain - IIT/ NIT,"FMCG Sales, Data Analytics, Marketing Analytics, Data Analysis, Statistical...",,"Delhi NCR, Gurgaon",  Not disclosed 
Satin Creditcare Network Ltd,2-5 yrs,Should possess extensive knowledge and experience in applying data mining;Good Interpersonal &amp ...,Business Analyst - SCNL,"Business Analysis, Data Modeling, Data Interpretation, Tableau...","https://www.naukri.com/recruiters/profile/satincreditcare-2568914?xz=0_0_7,https://www.naukri.com/recruiters/profile/satincreditcare-2568914?xz=0_0_7",Gurgaon,"    5,00,000 - 9,00,000 P.A. Best in Industry  "
Info Edge India Ltd.,2-5 yrs,Must be able to handle pressure well and work on multiple project simultaneously. ...,Associate Assistant Manager- Operations,"operations management, backend, operations, backend operations...","https://www.naukri.com/recruiters/profile/vartikapathak-3670362?xz=0_0_7,https://www.naukri.com/recruiters/profile/vartikapathak-3670362?xz=0_0_7",Delhi NCR,"    2,75,000 - 5,00,000 P.A.  "
Sandhar Technologies Limited,4-8 yrs,  Key Responsibility Area-   1.Site visit for feasibility study & analysis for New ...,"Manager  - Maintenance for South ( Oragadam , Chennai)","Preventive Maintenance, Electricals, Maintenance Engineering, Power Plant...",,Gurgaon,  Not disclosed 
Wipro Limited,5-8 yrs,,Project Manager Big Data Analytics,"Core Java, Aviation, big data, big data analytics, Senior management...",,Gurgaon,  Not disclosed 
S&P Global Inc.,5-9 yrs,,"Senior-Director-Internal-Audit,-Data-Analytics-and-IT-Audit","Manager Internal Audit, Data analytics, Senior Director, Risk assessment...",,Gurgaon,  Not disclosed 
Jaypee University,2-5 yrs,,Data Analytics (IT) - assistant professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,2-6 yrs,,Data Analytics (IT) - assistant professor (Sr Grade),"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,8-10 yrs,,Data Analytics (IT) - associate professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,12-15 yrs,,Data Analytics (IT) - professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,2-5 yrs,,Data Analytics (CSE) - Assistant Professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,2-6 yrs,,Data Analytics (CSE) - Assistant Professor (Sr Grade),"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,8-10 yrs,,Data Analytics (CSE) - Associate Professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Jaypee University,12-15 yrs,,Data Analytics (CSE) - Professor,"Teaching, Educator, Counselor, Mentor, Trainer, Advisor",,Noida,  Not disclosed 
Augusta Infotech,12-16 yrs,,Head Data Innovation & Analytics Platform,"business intelligence, rdbms, database designproduct engineering, azure...",,Gurgaon,  Not disclosed 
Wipro InfoTech,5-8 yrs,,Project Manager Big Data Analytics,"Project management, Project planning, Operations, big data analytics...",,Delhi,  Not disclosed 
Augusta Infotech,10-15 yrs,,Head - Data Innovation & Analytics Platform,"Service, Business intelligence, Product engineering, Tools, Database design...",,Gurgaon,  Not disclosed 
Detecvision Technologies Pvt. Ltd.,0-3 yrs,,Data Analytics,"Customer Service, Help Desk, Information, Telephony support...",,Delhi,  Not disclosed 
Augusta Infotech,12-16 yrs,,Head Data Innovation & Analytics Platform,"Business intelligence, Database design, Analytics, Product engineering...",,Gurgaon,  Not disclosed 
GBT India Private Limited,2-7 yrs,,Data Analytics Lead,"Recruitment, Workflow management, Customer satisfaction, Data analytics...",,Gurgaon,  Not disclosed 
Adglobal360,2-7 yrs,,DATA ANALYST / SR. DATA ANALYST,"SQL, MySQL, Python, Business intelligence, microsoft, QlikView...",,Gurgaon,  Not disclosed 
Kafal Software,3-6 yrs,"Experience with machine learning algorithms and data mining techniques;Experience with neural networks,de ...",Data Scientist,"Deep Learning, Data Analysis, Data Mining, R, Statistical Modeling...","https://www.naukri.com/recruiters/profile/nikitanarang-3297052?xz=0_0_7,https://www.naukri.com/recruiters/profile/nikitanarang-3297052?xz=0_0_7",Noida,  Not disclosed 
,,,,,,,
,,,,,,,
Bajaj Finserv Lending Ltd,1-4 yrs,,Branch Manager - Credit Operations,"Data analysis, Cash management services, Employee relations...",,Ghaziabad,  Not disclosed 
Bajaj Finserv Lending Ltd,1-5 yrs,,Branch Manager - Credit Operations,"Data analysis, Cash management services, Employee relations...",,Ghaziabad,  Not disclosed 
Bajaj Finserv Lending Ltd,1-4 yrs,,Assistant Manager - Credit Operations,"Data analysis, Cash management services, Employee relations...",,Ghaziabad,  Not disclosed 
CHROME DATA ANALYTICS & MEDIA PRIVATE LIMITED,0-5 yrs,,Hiring for a Real Estate Client (builder),"real estate sales, direct sales, sales, Property Sales Officer...","https://www.naukri.com/recruiters/profile/shruteebora-3357988?xz=0_0_7,https://www.naukri.com/recruiters/profile/shruteebora-3357988?xz=0_0_7",Gurgaon(Palam Vihar),"    1,00,000 - 2,00,000 P.A. 10k+ incentive  "
CHROME DATA ANALYTICS & MEDIA PRIVATE LIMITED,2-6 yrs,,Mean Stack Developer,"mean stack, Angularjs, mongodb, Node.Js, JSON, jQuery, NoSQL, Javascript","https://www.naukri.com/recruiters/profile/gitikasingh-1762062?xz=0_0_7,https://www.naukri.com/recruiters/profile/gitikasingh-1762062?xz=0_0_7",Noida(Sector-125 Noida),"    5,00,000 - 11,00,000 P.A.  "
